Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,36084.65
1_2_2012-11-02,48271.15
1_3_2012-11-02,11036.6
1_4_2012-11-02,38685.4
1_5_2012-11-02,29991.9
1_6_2012-11-02,4351.35
1_7_2012-11-02,23653.8
1_8_2012-11-02,39632.5
1_9_2012-11-02,39894.8
1_10_2012-11-02,29764.0
1_11_2012-11-02,25900.25
1_12_2012-11-02,9953.9
1_13_2012-11-02,42989.15
1_14_2012-11-02,14103.75
1_16_2012-11-02,6157.6
1_17_2012-11-02,8129.8
1_18_2012-11-02,12829.3
1_19_2012-11-02,909.6
1_20_2012-11-02,3277.85
1_21_2012-11-02,8051.45
1_22_2012-11-02,7922.0
1_23_2012-11-02,24554.8
1_24_2012-11-02,6663.0
1_25_2012-11-02,10650.35
1_26_2012-11-02,8187.15
1_27_2012-11-02,1859.2
1_28_2012-11-02,709.45
1_29_2012-11-02,4776.25
1_30_2012-11-02,2446.15
1_31_2012-11-02,2797.45
1_32_2012-11-02,6433.7
1_33_2012-11-02,6467.8
1_34_2012-11-02,11529.2
1_35_2012-11-02,2709.1
1_36_2012-11-02,1793.95
1_37_2012-11-02,2901.3
1_38_2012-11-02,89577.2
1_40_2012-11-02,62030.1
1_41_2012-11-02,1150.35
1_42_2012-11-02,8015.35
1_44_2012-11-02,6399.45
1_46_2012-11-02,18587.7
1_48_2012-11-02,1713.25
1_49_2012-11-02,9791.1
1_52_2012-11-02,2100.7
1_55_2012-11-02,14318.5
1_56_2012-11-02,1244.05
1_58_2012-11-02,3269.35
1_59_2012-11-02,672.2
1_60_2012-11-02,1292.3
1_67_2012-11-02,6787.3
1_71_2012-11-02,2342.0
1_72_2012-11-02,54666.3
1_74_2012-11-02,9638.4
1_79_2012-11-02,42680.9
1_80_2012-11-02,19253.2
1_81_2012-11-02,30817.65
1_82_2012-11-02,19986.4
1_83_2012-11-02,5779.15
1_85_2012-11-02,3048.95
1_87_2012-11-02,59696.75
1_90_2012-11-02,90451.85
